year,annual_co2_tonnes,region
29,1929,1629754528.0,eu28
30,1930,1503932768.0,eu28
31,1931,1366232320.0,eu28
32,1932,1238516272.0,eu28
33,1933,1265692160.0,eu28
34,1934,1367206944.0,eu28
35,1935,1417337792.0,eu28
36,1936,1481150016.0,eu28
37,1937,1621664416.0,eu28
38,1938,1606674992.0,eu28
39,1939,1640530352.0,eu28
40,1940,1703210400.0,eu28
41,1941,1682838560.0,eu28
42,1942,1700605296.0,eu28
43,1943,1688539744.0,eu28
44,1944,1487074704.0,eu28
45,1945,852759360.0,eu28
46,1946,1212058528.0,eu28
47,1947,1369090240.0,eu28
48,1948,1481410160.0,eu28
49,1949,1600468176.0,eu28
50,1950,1678555344.0,eu28
51,1951,1868687632.0,eu28
52,1952,1902257200.0,eu28
53,1953,1937750368.0,eu28
54,1954,2037590704.0,eu28
55,1955,2185748208.0,eu28
56,1956,2295873392.0,eu28
57,1957,2343237920.0,eu28
58,1958,2300786816.0,eu28
59,1959,2474598758.0,eu28
60,1960,2645188374.0,eu28
61,1961,2739401229.0,eu28
62,1962,2898203859.0,eu28
63,1963,3096111111.0,eu28
64,1964,3211239374.0,eu28
65,1965,3269236018.0,eu28
66,1966,3324322051.0,eu28
67,1967,3359622140.0,eu28
68,1968,3545750813.0,eu28
69,1969,3768940969.0,eu28
70,1970,3940223684.0,eu28
71,1971,4031100548.0,eu28
72,1972,4145687906.0,eu28
73,1973,4340557869.0,eu28
74,1974,4278398800.0,eu28
75,1975,4176706152.0,eu28
76,1976,4464283655.0,eu28
77,1977,4422461300.0,eu28
78,1978,4555283225.0,eu28
79,1979,4724499342.0,eu28
80,1980,4619084718.0,eu28
81,1981,4388224890.0,eu28
82,1982,4284779330.0,eu28
83,1983,4241661089.0,eu28
84,1984,4254759568.0,eu28
85,1985,4341638695.0,eu28
86,1986,4340998381.0,eu28
87,1987,4382617156.0,eu28
88,1988,4338447234.0,eu28
89,1989,4396967397.0,eu28
90,1990,4479328893.0,eu28
91,1991,4423024482.0,eu28
92,1992,4278958094.0,eu28
93,1993,4194973674.0,eu28
94,1994,4174499726.0,eu28
95,1995,4221464747.0,eu28
96,1996,4325073851.0,eu28
97,1997,4235932265.0,eu28
98,1998,4228986394.0,eu28
99,1999,4164147220.0,eu28
100,2000,4187334052.0,eu28
101,2001,4259400201.0,eu28
102,2002,4235814501.0,eu28
103,2003,4327781747.0,eu28
104,2004,4337972863.0,eu28
105,2005,4314639655.0,eu28
106,2006,4320409661.0,eu28
107,2007,4274408815.0,eu28
108,2008,4173862503.0,eu28
109,2009,3831829410.0,eu28
110,2010,3951262617.0,eu28
111,2011,3805961187.0,eu28
112,2012,3747240906.0,eu28
113,2013,3659240891.0,eu28
114,2014,3490383183.0,eu28
115,2015,3523491826.0,eu28
116,2016,3503031204.0,eu28
117,2017,3543683484.0,eu28
0,1900,33913984.0,asia
1,1901,40417584.0,asia
2,1902,41626704.0,asia
3,1903,43993648.0,asia
4,1904,48452736.0,asia
5,1905,50750064.0,asia
6,1906,56674752.0,asia
7,1907,61229104.0,asia
8,1908,65468352.0,asia
9,1909,64944400.0,asia
10,1910,70257200.0,asia
11,1911,76889040.0,asia
12,1912,82963952.0,asia
13,1913,89430912.0,asia
14,1914,96799216.0,asia
15,1915,89178096.0,asia
16,1916,93988928.0,asia
17,1917,104189504.0,asia
18,1918,111191408.0,asia
19,1919,118794208.0,asia
20,1920,118713600.0,asia
21,1921,109722144.0,asia
22,1922,116757024.0,asia
23,1923,124491728.0,asia
24,1924,131911328.0,asia
25,1925,138261040.0,asia
26,1926,139261312.0,asia
27,1927,149938208.0,asia
28,1928,156951104.0,asia
29,1929,161223328.0,asia
30,1930,149864928.0,asia
31,1931,135263888.0,asia
32,1932,134509104.0,asia
33,1933,150967792.0,asia
34,1934,165143808.0,asia
35,1935,175296752.0,asia
36,1936,192198784.0,asia
37,1937,208236112.0,asia
38,1938,217568320.0,asia
39,1939,227439136.0,asia
40,1940,254439152.0,asia
41,1941,259451504.0,asia
42,1942,230355680.0,asia
43,1943,241050896.0,asia
44,1944,216366528.0,asia
45,1945,123476800.0,asia
46,1946,101569744.0,asia
47,1947,129947424.0,asia
48,1948,155020176.0,asia
49,1949,187545504.0,asia
50,1950,205370864.0,asia
51,1951,235954272.0,asia
52,1952,254816544.0,asia
53,1953,272330464.0,asia
54,1954,287067072.0,asia
55,1955,304097344.0,asia
56,1956,331705584.0,asia
57,1957,361772368.0,asia
58,1958,369602336.0,asia
59,1959,604497587.9,asia
60,1960,668260063.4,asia
61,1961,741388922.5,asia
62,1962,779377430.3,asia
63,1963,847966032.0,asia
64,1964,921666074.6,asia
65,1965,997006916.3,asia
66,1966,1065341990.0,asia
67,1967,1186227083.0,asia
68,1968,1303008608.0,asia
69,1969,1439015994.0,asia
70,1970,1634675993.0,asia
71,1971,1738779828.0,asia
72,1972,1826052969.0,asia
73,1973,1953845863.0,asia
74,1974,1976266454.0,asia
75,1975,1983313384.0,asia
76,1976,2082393703.0,asia
77,1977,2189029391.0,asia
78,1978,2225627003.0,asia
79,1979,2322646613.0,asia
80,1980,2368006964.0,asia
81,1981,2345140651.0,asia
82,1982,2349841861.0,asia
83,1983,2380035255.0,asia
84,1984,2481123794.0,asia
85,1985,2553867714.0,asia
86,1986,2594606844.0,asia
87,1987,2680186428.0,asia
88,1988,2893196806.0,asia
89,1989,2991494307.0,asia
90,1990,3034838326.0,asia
91,1991,3107688000.0,asia
92,1992,3155372501.0,asia
93,1993,3204298604.0,asia
94,1994,3276961735.0,asia
95,1995,3356212709.0,asia
96,1996,3465720371.0,asia
